intent,allowedTools,forbiddenTools
messageDraft,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
motion,motion.activity,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;outlook.attachments.list;outlook.draft.create
note,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
outlook,outlook.attachments.list;outlook.draft.create;outlook.folders.list;outlook.mail.send;outlook.message.archive;outlook.message.delete;outlook.message.forward;outlook.message.mark_read;outlook.message.mark_unread;outlook.message.move;outlook.message.read;outlook.message.reply;outlook.message.reply_all;outlook.messages.list;outlook.messages.search;outlook.status,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;phone.call
phoneCall,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
photos,files.read;photos.search;rag.index_files;rag.index_photos;rag.search,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create
rag,files.read;photos.search;rag.index_files;rag.index_photos;rag.search,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create
reminder,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
trigger,trigger.cancel;trigger.create;trigger.list,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
unknown,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
weather,location.current;weather,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list;outlook.draft.create
webSearch,,alarm.authorization_status;alarm.cancel;alarm.countdown;alarm.list;alarm.pause;alarm.request_authorization;alarm.resume;alarm.schedule;alarm.snooze;alarm.stop;calendar.create;calendar.list;camera.capture;contacts.search;files.read;health.summary;location.current;mail.draft;maps.directions;maps.search;memory.recall;memory.save;messages.draft;motion.activity;outlook.attachments.list
